,url,title,description,cat1,cat2,cat3
5,https://www.tourisme-cambresis.fr/fete-communale-troisvilles.html,Fête communale Troisvilles,"Vendredi 1er septembre :

Présence des manèges et stands sur la place de l'Eglise.

Repas à la salle des fêtes à 19h animé par Jean-Michel Chrétien et sa chanteuse.

Repas adulte : couscous royal ou assiette campagnarde - fromage - dessert : 19€.

Repas enfant : lasagnes - fromage - dessert : 9€.

 

Samedi 2 septembre :

Brocante dans la rue du Villers et la rue de la Sotière de 8h à 17h.

Inscription obligatoire au 03 27 85 09 94 (mairie) ou au 03 27 85 02 70 / 06 73 25 22 54 (Café Françoise) avant le 25 août.

2€ les 5 mètres - 5€ les 5 mètres supplémentaires.

Vélos rigolos de 9h à 12h - Mascottes.

 

Dimanche 3 septembre :

Apéritif concert avec l'Harmonie de Bertry de 12h à 14h à la salle des fêtes.

À 16h, remise des récompenses pour les gagnants du jeu des colliers d'immunité à la salle polyvalente.

À 16h30, lâcher de ballons par les enfants ( à récupérer à partir de 16h à la salle polyvalente).

De 17h à 19h, distribution de tickets aux enfants présents sur la fête par le maire.

 

Lundi 4 septembre :

Tickets gratuits pour les enfants du village (jusqu'à 14 ans inclus).

Offerts par le conseil municipal et le maire, distribués à l'école pour les enfants scolarisés à Troisvilles et disponibles en mairie à partir du 28 août pour les autres.",Fête,Famille,Détente
11,https://www.tourisme-cambresis.fr/exposition-maison-forestiere-carnets-voyages-photographiques.html,"Exposition à la maison forestière ""Carnets de Voyages photographiques""","Exposition à la maison forestière ""Carnets de Voyages photographiques""  par Bruno Blériot.

 

Horaires d'ouverture : le mercredi, samedi, dimanche de 9h30 à 12h30 et de 14h à 17h30.",Exposition,Art,
6,https://www.tourisme-cambresis.fr/festival-theatre-les-estivales.html,"Festival de théâtre ""Les estivales ""","LES ESTIVALES 2023

Festival du théâtre émergent

Week-Ends des 2-3 & 9-10 Septembre

Journée jeune public le mercredi 6 septembre

L'Entre • 619 rue de Bermerain • Vendegies - sur - Ecaillon

 

LES ESTIVALES C'EST REPARTI POUR UNE 5ÈME ÉDITION   ✨

 

              Les  ESTIVALES, rendez-vous annuel d' Art & Cendres, qui a connu sa première édition en Août 2018 à Vendegies-sur-Écaillon a le plaisir de vous convier à son festival de théâtre de Théâtre Émergent

Depuis 4 édition le festival ne cesse de prendre de l'ampleur tant humainement, que artistiquement ! 

 

Cette année au programme : un véritable marathon théâtral, des expositions, des performances, de la restauration maison, un bar à bières et un après midi consacré au théâtre jeunesse le mercredi 6 septembre. 

Le festival se déroule dans un ancien site industriel, réinventé au cœur de la campagne environnante.  

 

Durant tout le mois d'août 5 compagnies seront en résidence à  L'ENTRE, lieu du festival, afin de créer leur spectacle.

 

À seulement 20 min de Valenciennes, 50 min de Lille et 2H de Paris, embarquez avec vos amis, vos familles, vos tentes, vos yeux et vos oreilles et découvrez avec nous  le travail de ces 5 compagnies :

 

 

• LES HUÎTRES VEULENT JUSTE DE L'AMOUR

  un texte de Blanche Sottou

  mis en scène par Blanche Sottou

 avec Wafya Cochet, Chloé David, Dylan Guillou, Théo Kerfrifin,     Marc Ségala  et Blanche Sottou 

 

Dans un bistrot fermé, on prépare une surprise pour le retour du fils du patron. Mais un client débarque. Et la serveuse panique. Et puis l’autre serveuse tombe amoureuse. Personne ne veut voir que c’est lui qu’on attend. Et puis le patron n'est pas vraiment le père de son fils. Et puis sa mère en aime un autre. Mais cet autre n’est même pas vivant. Et puis de toute façon personne ne s'écoute et personne ne se comprend. Mais il y a de l’amour en veux-tu en voilà. 

 

 

• LE RÊVE EST MON MÉTIER 

  un texte de Mahmoud Darwich 

  mis en scène par Mona Taïbi

  avec Foucault de Malet et Théo Oliveira Machado  

 

Un récit d'aventures, théâtral et musical. La pièce retrace la vie et l’œuvre du poète palestinien Mahmoud Darwich, ponctuées de voyages et de rencontres, et marquées par l'exil de 1948. Une épopée de la Palestine jusqu'aux États-Unis en passant par le Liban et la vie parisienne. Darwich nous offre un voyage à travers les époques, les rêves et les souvenirs, joyeux ou terribles. Dans un décor en perpétuelle évolution, le texte et la musique se rencontrent pour raconter la vie de ce grand poète qui fait écho à toutes les histoires.

 

 

 

• GANGRÈNE 

  mis en scène par Anthony Ponzio

  avec Kate Perrault en alternance avec Marine Rouvrais, Ronan        Bacikova, Antoine Gerard, Lucile Jehel, Paul Luneau, Mayeul de      Jubecourt, Hugo Plassard et Anthony Ponzio. 

 

Gangrène, c’est l’'histoire d'une ville, d'une société au bord du précipice plongée dans le vice, la criminalité et la corruption. À la suite de ce qui semble être le plus grand meurtre politique, la tension est à son comble. La seule solution pour éviter un carnage, élucider cette affaire, mais la tâche est bien plus complexe qu'il n'y paraît…

 

 

• ALICE

 une pièce de Lucile Jehel

 mis en scène par Victorien Colliard 

 assisté d'Antoine Legras  

 avec Lucile Jehel, une création musicale de Antoine Legras, des   costumes de Jeanne Lieffroy et une charte artistique de Pauline   Dutel.

 

Alice, jeune femme établie dans la vie, se retrouve dans une forêt magique. Sans savoir où elle est tombée, elle pense chercher à sortir de cet endroit et rentrer chez elle, mais la rencontre avec les habitants de ce monde va mettre sa confiance à rude épreuve, son coeur en émoi, ses rires aux aguets et sa folie en ébullition. 

”Mais alors Alice, si le monde n’a aucun sens, qui nous empêche d’en inventer un ? “

 

 

• POISSONS ROUGES 

  un texte de Damien Sobieraff 

  mis en scène par Ronan Bacikova

avec Alice Kudlak, Camille Legrand, Paul Luneau, Damien  Sobieraff, Clément    Van Calster et en alternance Alix Corre 

 

Un écrivain est perdu, seul dans sa maison. Obsessionnel et dépressif, il survit. Devenu un monstre de travail rongé par la productivité et le café, il tente en vain de faire le deuil de son passé. Pour le sauver, son frère le conduit dans un monde mystérieux et fantastique, où ils se perdront à la dérive du temps et du souvenir. Par delà les forêts, les montagnes et les mers, ils tenteront de retrouver leur chemin

 

 

 

 

 ON A TROP HÂTE  ! RENDEZ-VOUS LE 10 JUILLET POUR L'OUVERTURE DE LA BILLETTERIE ! 

 

Toute l'équipe de l'Entre et d'Art & Cendres",Théatre,Art,
13,https://www.tourisme-cambresis.fr/fete-culs-caudron.html,Fête des culs de Caudron,"Fête des culs de Caudron organisée par Les Associations et la Municipalité de Saint-Python

7h : Concours de pêche / animations (Traits d'Union)

9h : randonnée pédestre (marche et découverte)

Le matin : animations musicales / culturelles  (le Terrier des arts)

 

9h - 17h : brocante en centre-bourg

 

Toute la journée : attractions foraines / baptêmes de motos / vente de crêpes / stand maquillage enfants

 

12h30 : repas champêtre (sur résrevation)

15h30 : défilé de géants (rues de cambrai, pasteur et gambetta)

17h30 : rondo final (face à la amirie)

18h : concert de cloture avec ZONE 51 (cour de la mairie)",Fête,Famille,Balade
7,https://www.tourisme-cambresis.fr/naturiades,Les Naturiades du Val du Riot,"Ce festival est consacré comme son nom l'indique à la Nature, à la protection de l’environnement, à la conservation de la biodiversité et plus largement à la sensibilisation à l'éco-citoyenneté et au développement durable à travers des stands, des ateliers et des animations.

 

Festival : samedi 2 septembre de 14h à 18h et dimanche 3 septembre de 10h à 18h

En ouverture du festival : vendredi 1 septembre à 20h30 au cinéma « Le Millénium », en collaboration avec l’atelier Repair Café de l’association Avenir Jeunes, projection du film documentaire LOW TECH d’Adrien Bellay suivie d’un temps d’échanges en salle.

Au programme de cette dixième édition :

Des stands sur les thématiques du développement durable, de la biodiversité, de l’écocitoyenneté, du savoir-faire local, loisirs verts et du bien-être au naturel : informations, vente de produits, séances découverte démonstrations et initiations (pêche, yoga du rire, reiki, cerfs-volants, canicross,….), expositions, animations pour petits et grands (animaux de la mini ferme, jeux,…) et ateliers (réalisation de cerfs-volants et d’éoliennes, dessin à l’encre végétale, atelier créatif Nature,….)

Grand spectacle le dimanche 3 septembre à 14h30 avec la coproduction « L’oiseau et le chat » et « La légende de l’Echaravel » : 1h de spectacle conté mêlant acrobatie aérienne et fable écologique.

Repair café présent tout le week end pour vous aider à réparer vos petits objets électroménagers

Boissons et petite restauration sur place

Profitez-en pour découvrir (ou redécouvrir) l’édition 2023-2024 de l’exposition extérieure de photographies « Grandeur Nature » réalisée en partenariat avec les associations AL Photo Club Caudry, Photo Passion Caudry, Collectif 8, Objectif Mormal et autres artistes.

 

Programme complet : http://www.valduriot.fr et https://www.facebook.com/valduriot/

Accès à l’événement : Esplanade de la salle polyvalente de la Base – Rue de Cambrai prolongée CAUDRY

 

Entrée gratuite - Ouvert à tous.",Environnement,Atelier,Famille
15,https://www.tourisme-cambresis.fr/forum-sport-sante-bien-etre.html,Forum sport santé bien-être,"Forum Sport Santé bien-être au gymnase Vanpoulle Cambrai

 

Venez participer au forum santé bien-être avec Agathe Cauet 1ère dauphine de Miss France

 

Ateliers yoga, pilates, stretching relaxation, gym douce, postures et renforcement, self-défense...

 

Stand information maison santé

parcours jeu-santé ouvert aux enfants",Sport,Atelier,Famille
8,https://www.tourisme-cambresis.fr/vg-archeo,Visite guidée de l'Archéo'site,"Chaque dimanche à 15 heures, la visite guidée du site qui dure deux heures vous permettra de découvrir, l’habitat, l’artisanat, l’alimentation ou encore les rites d’inhumation au premier millénaire. Chaque premier dimanche du mois, l’entrée du site est gratuite et le groupe de reconstitution «  Vinciaco » propose de compléter votre visite en faisant revivre le village carolingien par la restitution de scènes de vie agricole et artisanale. 

 

 

 

Du mardi au vendredi de 9h - 12h / 14h - 18h       

Samedi et Dimanche de 14h - 18h

 

https://www.agglo-cambrai.fr/nos-missions/culture/archeosite-de-les-rues-des-vignes",Visite,Culture,Famille
17,https://www.tourisme-cambresis.fr/cambraiscope-chapelle-jesuites.html,Du CambraiScope à la chapelle des jésuites,"Tous les samedis et dimanches à 15h du 8 juillet au 3 septembre : ""Du CambraiScope à la chapelle des jésuites"" 

RV à l’entrée de la chapelle des jésuites, place du Saint-Sépulcre

Découvrez le CambraiScope, le centre d’interprétation de l’architecture et du patrimoine de Cambrai niché dans l’ancien collège des jésuites. Les nombreux plans, photos, maquettes qu’il abrite vous éclaireront sur l’évolution de la ville, avant de plonger dans un monument représentatif du siècle d’or cambrésien : la chapelle des jésuites.

Durée 1h30. Gratuit. Sans réservation.",Exposition,Culture,Histoire
9,https://www.tourisme-cambresis.fr/visite-chateau-esnes.html,Visite du Château d'Esnes,"Château du XVe siècle reconstruit au XVIIIe siècle, entouré de douves (presque entièrement comblées) avec deux tours rondes médiévales encadrant le porche, une grosse tour, un pigeonnier, le cachot, une très belle façade intérieure du XVIIe siècle.

Comment faire pour participer à la visite de ce monument historique ?

Première étape : Il faut d’abord réserver !


	        Soit sur le site internet http://www.chateau-esnes.fr/
	        Soit par mail esnes.chateau@gmail.com
	        Soit par téléphone 06 70 82 48 80


Deuxième étape : venir au château à l’heure réservée et c’est partie pour la visite !

Quelques informations pratiques :


	  Premier départ des visites à 14h15, puis départ toutes les 30 minutes jusque 17h
	  Prévoyez de bonnes chaussures
	  La tarification de l’entrée : 5€ pour les adultes, 3€ pour les -12 ans et gratuit pour les moins de 6 ans.


 

www.chateaudesnes.com/visites-et-animations

 

Ces groupes seront au maximum de 12 personnes (nombre imposé par Commission de Sécurité), il est donc indispensable de réserver en amont.",Visite,Culture,Histoire
19,https://www.tourisme-cambresis.fr/portes-ouvertes-cours-danse.html,Portes ouvertes Cours de danse,"Portes ouvertes des cours de danse de salon Escaudoeuvres.

 

https://danse2salon.mystrikingly.com",Visite,Danse,
10,https://www.tourisme-cambresis.fr/yoga-rire-caudry.html,Yoga du rire à Caudry,"Vous avez envie de rire ?
envie de partage ? 
de convivialité ?
bonne humeur  ?
Et aussi de nature ?
Je vous propose une séance de yoga du rire en extérieur chaque 1er mardi du mois à la base de loisirs Le Val du Riot à Caudry. 
RDV près du pigeonnier (grand monument orange) à 17h50 avant d'aller à l'espace dédié à la séance.

ouvert à tous à partir de 6 ans sur INSCRIPTION.

Prévoir tenue et chaussures adaptées ainsi qu'un tapis type yoga.

Qu'est-ce que le yoga du rire ?
Le yoga du rire a été élaboré en Inde en 1995 par le Dr Kataria. On l'appelle ainsi car ce concept combine des exercices de rires avec la respiration du yoga.
C'est facile, accessible, immédiat et efficace. Et rire 15 min par jour est bon pour la santé : cela renforce le système immunitaire, améliore le sommeil et la confiance en soi, rend heureux, libère les tensions, donne de l'énergie.

La séance se déroule comme suit :
- éveil corporel
- exercices de respiration
- exercice de lâcher prise
- exercices de rires
- relaxation
- partages

Tarif adulte 10 euros, tarif enfant 5 euros.
renseignements et inscriptions au 06 80 37 99 31 ou en message privé sur EmJoy",Atelier,Détente,
21,https://www.tourisme-cambresis.fr/les-terres-jim.html,Les Terres de Jim,"Terres de Jim à Cambrai ! 

Rendez-vous les 8, 9 et 10 septembre 2023 !

LA BILLETTERIE C'EST ICI !

INFOS CONCERTS CLIQUEZ ICI 

Nous espérons que cet événement, à la fois pour les professionnels, les scolaires et le grand public, rassemble sur les 3 jours, 70 000 visiteurs.

Retrouvez durant ces trois jours, la Finale Nationale du Labour, un marché de producteurs, des animaux, des animations pour petits et grands...et d'autres surprises, restez connectés !

Véritable vitrine de l’agriculture française et de la culture locale, ""Les Terres de Jim"" est un événement unique et inédit pour la ville de Cambrai.

 

lesterresdejim.com/",Concert,Fête,Environnement
11,https://www.tourisme-cambresis.fr/brocante-ducasse.html,Brocante de la ducasse,"Quiévy animation vous propose la 12ème Brocante de la Ducasse, rue du 8 Mai 1945, le 9 Septembre 2023 de 8h à 18h.

Standes : 1€ le mètre, 5€ les 6 mètres Installation à partir de 6h.

En présence de la Ferme Pédagogique Piles Poils.

Buvette et Restauration sur place.

 

Info et réservation au 06 32 49 13 08 ou 06 82 76 82 22.",Brocante,,
23,https://www.tourisme-cambresis.fr/exposition-plume-encre.html,Exposition artistique,"Exposition artistique par l'association ""Plume d'Encre et couleurs d'art"" les 9 et 10 septembre dans la salon blanc de l'Hôtel de Ville de 10h30 à 12h30.",Exposition,Art,
12,https://www.tourisme-cambresis.fr/decouverte-payahouse-rencontre-partage.html,Découverte de la Payahouse : Rencontre et partage,"Sandrine et Christophe se sont installés à Bantouzelle avec leurs enfants en 2010. Découvrez l’épopée incroyable de cette famille qui a bâti sa propre maison, s’est découvert une nouvelle philosophie de vie et est aujourd’hui sur le chemin de l’autonomie énergétique et alimentaire.  

 

Lieu de rendez-vous communiqué à l’inscription. 

Durée : Prévoir 4h minimum. Tarif unique : 5.50€. Gratuit pour les enfants –16 ans. 

Réservation au 03 27 78 36 15 ou sur billetterie.tourisme-cambresis.fr",Visite,Environnement,Famille
25,https://www.tourisme-cambresis.fr/souterrains-cateau.html,Visite guidée des souterrains du Cateau,"Au Cateau-Cambrésis, le sous-sol comporte de nombreuses cavités formant un réseau très dense sous le centre-ville. Laissez-vous surprendre par ces galeries héritées d’une histoire millénaire.

 

Durée : 1h. Tarif unique : 5€. Déconseillé aux moins de 7 ans.

 

Billetterie en ligne sur : http://billetterie.tourisme-cambresis.fr/product/de-caves-en-boves/

Besoin de plus de places ? Contactez-nous au 03.27.78.36.15",Visite,Histoire,Histoire
13,https://www.tourisme-cambresis.fr/conference-franc-maconnerie-chemin-vie.html,"Conférence ""La Franc-maçonnerie, un chemin de vie""","Conférence ""La Franc-maçonnerie, un chemin de vie"" par Catherine Lyautey, grande maitresse de la Grande Loge Féminine de France

Ouvert à tous publics

La conférence sera suivie d'un verre de l'amitié.",Exposition,Culture,
27,https://www.tourisme-cambresis.fr/page-21595.html,Brocante en semi-nocturne à Bermerain,"Brocante semi-nocturne de Bermerain le samedi 9 septembre de 15h à 22h.

Forum des associations, manèges, animations, buvette et restauration.

Renseignements et inscription au 06 38 10 01 90.",Brocante,Fête,Famille
14,https://www.tourisme-cambresis.fr/souterrains-citadelle,"Visite guidée ""La Citadelle et ses souterrains""","Nous vous invitons à visiter les galeries de contre-mine de l'une des dernières citadelles impériales de Charles Quint. Véritable dédale souterrain, elles permettaient autrefois d'assurer la surveillance du fossé de cette place forte du XVIe siècle. Découvrez un système de défense original, qui subsista jusqu'au  XIXe siècle.

Coordonnées GPS  N 50.17243°  E 3.24028°

 

La visite est déconseillée aux enfants de moins de 7 ans. Prévoir une bonne paire de chaussures.

 

http://billetterie.tourisme-cambresis.fr/product/visite-souterrains-citadelle/",Visite,Histoire,
29,https://www.tourisme-cambresis.fr/fete-petits-animaux,47ème Fête des petits animaux,"Organisée par Haussy portes ouvertes, avec la participation de la Municipalité et du Comité Communal d'Animation et de l'Union Sportive.

 

- Samedi 9 septembre à partir de 19h30 :

Concert Tribute Johnny Halliday par Johnny Idole.

Buvette et friterie sur place.

 

- Dimanche 10 septembre :

* De 8h à 18h : Braderie Brocante (emplacement gratuit sans réservation)

* Le midi à la salle des fêtes : Animé par l'Harmonie Municipale.

Buvette et restauration : saucisse, jambon frites et le traditionnel moules frites organisé par le CCA, sans réssrvation.

* Sur le terrain de foot : Démonstration de chiens de troupeaux, présentation vente avicole, mini ferme, exposition d'oiseaux, associations de protection animale, démonstration de ferrage de cheveaux, balades à poneys, balades à dos de dromadaires, et de nombreuses autres animations...",Concert,Brocante,
15,https://www.tourisme-cambresis.fr/soiree-dansante-cmj-escaudoeuvres.html,Soirée dansante du CMJ d'Escaudoeuvres,"Tous les hits du moment avec DJ F.B. Diffuzion

 

Réservations www.facebook.com/CMJ59161

 

Placement libre - Buvette et petite restauration",Danse,Fête,
